year,lbs_per_acre
1936,2057
1937,1694
1938,2662
1939,1452
1940,1936
1941,2057
1942,2037
1943,2427
1944,1631
1945,2594
1946,1815
1947,1815
1948,1491
1949,1391
1950,2842
1951,2495
1952,2562
1953,1956
1954,2584
1955,2181
1956,1970
1957,1963
1958,2138
1959,785
1960,1956
1961,1353
1962,1971
1963,3055
1964,2494
1965,3773
1966,2182
1967,2934
1968,2298
1969,2724
1970,3026
1971,2727
1972,1763
1973,3031
1974,2849
1975,2618
1976,2555
1977,1042
1978,4524
1979,3355
1980,3958
1981,2549
1982,3911
1983,3630
1984,1824
1985,1690
1986,2653
1987,968
1988,807
1989,988
1990,845
1991,2338
1992,2699
1993,1829
1994,1328
1995,2355
1996,2651
1997,2286
1998,2508
1999,2191
2000,1893
2001,1852
2002,2078
2003,3717
2004,1100
2005,3970
2006,2561
2007,852
2008,1646
2009,1403
2010,3199