"","year","winterYear","lbs_per_acre","percentile","pptIn_12","tmin_12","tmean_12","pptIn_1","tmin_1","tmean_1","pptIn_2","tmin_2","tmean_2","pptIn_3","tmin_3","tmean_3","pptIn_4","tmin_4","tmean_4","pptIn_5","tmin_5","tmean_5","pptIn_6","tmin_6","tmean_6","pptIn_7","tmin_7","tmean_7","pptIn_8","tmin_8","tmean_8","pptIn_9","tmin_9","tmean_9","pptIn_10","tmin_10","tmean_10","pptIn_11","tmin_11","tmean_11"
"1",1935,1934,NA,NA,4.69,35.8,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1936,1935,2057,0.453333333333333,2.65,37.8,47.9,2.34,39.7,49.1,3.87,36.8,47.9,4.23,45.3,58,0.04,48.5,65.6,0,57.8,77.7,0,60.5,79.8,0,62,81.8,0.02,57.3,76.2,1.07,46,62,0.76,36.1,50,1.44,35.3,47.7
"3",1937,1936,1694,0.24,3.2,28.1,37.2,9.8,38.5,47.8,2.05,42.1,55.1,1.13,45.6,60.8,0.23,50.2,68.3,0.37,57.6,75.8,0.08,65.2,84.5,0,62.7,82.7,0,55.8,75.7,1.99,50,66.1,0.01,39,55.1,5.32,34.3,45
"4",1938,1937,2662,0.76,3.76,36.3,46.4,5.71,37.1,47.4,4.31,40.6,52.1,0.97,42.9,57.4,0,49.7,68.5,0,56.9,75,0,63.8,83.6,0,61.2,81.5,0,56.4,75.2,0.08,48.8,66.5,0.51,41.8,55.3,5.4,37.6,49.2
"5",1939,1938,1452,0.173333333333333,2.56,35.6,46.2,6.75,38.9,48.5,8.9,38.8,48.9,2.39,44.2,58.3,0.18,49.5,67.6,0,58.7,77.2,0.12,63.4,82.9,0,60.8,80.3,0.13,58.3,76.5,1.39,47.5,63.5,0.71,36.5,50.8,1.41,38.3,48.6
"6",1940,1939,1936,0.346666666666667,9.09,40.3,48.7,1.98,33.4,44.5,2.72,41.1,53,0.52,48.2,64.4,0.45,49.4,68,0.22,56.1,76.1,0,61.4,82.2,0,61.5,82.4,1.24,58.6,76.6,1.18,47.2,64.5,0.05,40.2,57.1,0.64,37.5,50.5
"7",1941,1940,2057,0.453333333333333,3.33,39.6,49.4,5.46,41.7,51.1,2.33,43.2,55.4,0.98,45.6,60.6,0,51.6,70.7,0,59.7,79.9,0,59.9,80.4,0,60.6,81.2,0,53.5,71.4,1.66,49.1,65.5,0.12,38.4,52.2,7.29,39.6,51.1
"8",1942,1941,2037,0.426666666666667,3.07,36.8,47,5.84,43.4,52.4,2.75,43.2,54.8,3.99,42.5,56.1,0.15,50.4,67.6,0,54.2,72.7,0,62,82.3,0.04,58.5,77,0,51.6,70.9,1.14,45.8,61.6,0.97,41.7,55.7,5.86,38.2,47.6
"9",1943,1942,2427,0.586666666666667,4.69,35.2,46.5,2,35.6,46.9,1.79,37.7,52,2.71,43.3,56.9,1.16,45.4,62.8,0,54.1,74.1,0,62.3,82.9,0,60.5,80.7,0,54.2,73,0.04,49.5,66.4,2.13,40.6,53.5,2.13,37.2,46.7
"10",1944,1943,1631,0.2,2.56,35,46.4,2.05,39,50.9,5.04,43.7,54.1,1.09,45.7,59.7,0.01,48.7,67.7,0,51.3,70.1,0,60,80.1,0,56.8,77,0,56.2,76.2,0.36,47.6,64.6,0.63,39.8,55,2.15,36.6,47.7
"11",1945,1944,2594,0.706666666666667,0.36,34.3,43.9,4.73,36.3,46.5,1.14,37.5,51.6,1.78,40.3,54.8,0.3,49.5,66.8,0.16,52.9,70.2,0,59.2,79.3,0,57.5,78.6,0.03,56,75.6,0.87,49.1,66.5,4.48,40.4,50.8,2.28,36.9,48
"12",1946,1945,1815,0.28,0.83,32.4,44.4,5,39.2,49.6,4.25,36.7,47.7,0.47,42.1,58.4,0.48,47.2,64.2,0.3,54.9,74.3,0,63,83.8,0,59.3,79.5,0.08,56.6,75.9,1.97,51,66.3,1.57,39.9,52.1,3.51,38.1,47
"13",1947,1946,1815,0.28,0.58,30.7,41.6,2.14,34.4,46.6,3.38,38.8,51.8,0.2,43.3,60.5,0.91,47.9,65.7,0,53.5,72.8,0.04,61.3,81,0,59.8,80.8,0,54.4,74.1,1.65,45.3,61,3.84,37.5,49.6,3.36,38.4,46.5
"14",1948,1947,1491,0.186666666666667,0.13,35.8,50.5,1.35,39.3,50.5,1.26,41.6,55,0.33,45,61.8,0.56,52.2,71.3,0.07,56.9,75.2,0,57.4,78.1,0,57.9,77.2,0.18,56.3,76.4,1.31,49.6,64.1,0.75,36.7,49.4,0.72,33.6,44.9
"15",1949,1948,1391,0.146666666666667,1.97,27.2,38.5,1.43,34.2,46.8,4.04,36.9,49.3,3.87,43.2,56.6,1.51,46,62.4,0.02,55.7,74.3,0,58.6,79.5,0,57.5,77.8,0,53.8,73.8,0.29,46.9,64.2,0.15,36.4,52.1,2.06,33.6,43.1
"16",1950,1949,2842,0.813333333333333,4.64,32,42.4,1.75,33.3,44.8,3.2,40.5,50.6,0.01,45.4,62.2,1.36,49,65.9,0,57.2,76.9,0,59.4,80.6,0,57.4,76.4,0,55.7,75.7,0,44.8,63.2,1.23,44,59,1.81,33.4,45
"17",1951,1950,2495,0.613333333333333,2.8,36,45.6,2.33,38.6,50.9,2.25,38.5,51.7,1.73,44.9,61.4,0.07,47.7,67.1,0,53.7,73.1,0.04,62,83.2,0,59.4,80.2,0.23,54.7,73.2,1.89,49.1,66.3,6.07,46,57.8,3.4,42.7,50.8
"18",1952,1951,2562,0.68,6.12,33.6,44.3,2.33,36.5,48.7,0.68,37.1,51.7,1.37,43.4,59.6,0.03,48.2,66.4,0.04,53.9,74,0,59.1,80.3,0,58,79.3,0,55.9,75.8,0.8,45.6,63.8,1.58,41.1,55.1,5.73,34,44.6
"19",1953,1952,1956,0.373333333333333,2.34,39.4,50.1,1.4,36.8,48.6,5.28,36.4,47.3,2.21,46.3,60.1,0.02,51.9,70.1,0,51.7,69.9,0.02,62.3,82.6,0,59.9,80.5,0.1,57.7,76.7,0.07,50.7,69.2,1.86,38,51.9,5.01,37.2,46.8
"20",1954,1953,2584,0.693333333333333,3.02,35.1,46.7,0.14,35.5,49.2,1.22,37.9,52.2,1.61,42.5,58.5,0.67,44,60.5,0.68,51.7,69.5,0,62.6,83.3,0,57.5,76.6,0,57.8,76.2,0.42,46.1,64,1.89,42.6,54.8,1,34.6,46.5
"21",1955,1954,2181,0.493333333333333,4.48,32.6,41.9,2.24,38.7,49.9,4,38.1,49.9,1.12,46.8,62.4,0.21,49.3,68.8,0.69,53.8,72.7,0,61.2,83,0,55.7,75.8,0,51.9,71.9,0,46.1,64.5,2,41.1,53.1,2.51,35.3,44.4
"22",1956,1955,1970,0.4,4.39,40.1,48.5,1.92,34.3,47,0.25,37.5,52.1,1.92,38,53.8,1.34,48.1,64.6,0,54.1,72.7,0,57.8,77.4,0,62,82.1,0,56.3,75.7,0,47.9,66,1.91,38.1,51.5,11.42,42,49.6
"23",1957,1956,1963,0.386666666666667,2.81,31.3,42.8,1.06,33.5,45.2,0.02,37.9,52.6,2.57,44.1,57.5,1.5,49.9,66.1,0,55.3,74.6,0,61,80.9,0,56.9,76.7,0.05,55.6,75,1.38,46.6,62.2,0,37.7,53.8,0.71,32.3,46
"24",1958,1957,2138,0.48,3.45,35.4,46.3,2.05,43.4,52.2,1.89,41.5,53.2,1.57,43.3,58.5,2.94,48.7,63.8,0.16,58.2,77.3,0,61.2,81.3,0,57.5,77.7,0.44,56.1,74.6,1.04,48,62.1,1.01,38.7,51.2,2.99,35.4,45.6
"25",1959,1958,785,0.0133333333333333,2.73,38.4,49.1,5.1,41.7,52.1,6.89,38.4,48.9,3.76,42.6,57,0.94,50.4,68.6,0.11,54.4,72.8,0.12,60.3,79.9,0,65.1,83.8,0.56,56.4,75.1,0,51.4,69.3,0.34,39,54.1,0.43,35.7,50.8
"26",1960,1959,1956,0.373333333333333,2.67,34.2,46,4.24,37.3,48.1,0.16,41.1,55.9,0.73,45.6,63.6,0.17,45.9,63.8,0,57,76.8,0,63.7,84.2,0,59.6,78.9,2.69,55.1,72.1,0,49.3,66.1,0,38.2,55.3,0.53,33.1,47.6
"27",1961,1960,1353,0.133333333333333,1.88,31.8,43,3.85,37.4,48.1,1.53,40.6,54.4,1.86,42.1,58.1,0.07,45.9,64.3,0,59.6,80.3,0,63.8,83.8,0,58.9,79.4,0,55.7,75.8,0.26,46,63,3.73,39.5,51.1,1.1,33.2,43.7
"28",1962,1961,1971,0.413333333333333,2.11,29.8,41.1,0.83,37.9,50.2,1.85,37.4,50.7,0.7,42.5,59.8,0.82,45.3,62.4,0.1,59.3,78.8,0.05,62.4,83.2,0,62.5,81.3,0.04,52.6,71.8,0.1,46,64.4,2.32,36.9,51.3,1.78,34.5,43.2
"29",1963,1962,3055,0.88,3.24,29.9,42.3,8.73,37.5,46.2,2.15,36.4,48.7,0.16,44.1,61.7,0.15,44.7,61.9,0.01,54.4,74.2,0.01,58.6,80,0,57.1,78.1,0.09,54.2,74.1,1.1,48.6,63.6,0.12,41.4,55.2,1.18,36.3,48.2
"30",1964,1963,2494,0.6,1.62,33.9,43.5,4.04,45.5,55.6,3.29,38.7,50.9,4.42,41.8,53.5,0.65,50.3,65.4,0.11,54.2,71.4,0,56.5,77.2,0,57.7,77.9,0.27,58.7,76,1.49,50.5,64.9,3.58,42.2,52,0.36,33.7,41.1
"31",1965,1964,3773,0.946666666666667,2.74,37.4,45.5,0.06,34.4,47.7,2,37.2,50,1.02,42,57.5,0.76,46.2,62.9,0.24,54.4,72.5,0,60.7,80.8,0,60.2,80.1,0.27,51.4,70.6,1.5,51.9,68.6,3.05,39,50,5.05,40.7,48.8
"32",1966,1965,2182,0.506666666666667,1.11,33.4,44.1,0.62,36.6,48.3,1.78,40.3,52.5,3.54,46.2,57.7,0.03,45.8,64.6,0,53,70.7,0,59.3,79.1,0.21,60.8,79.8,0,51.3,69.3,0.28,48.6,66.9,5.05,44.3,55,2.78,34.3,42.3
"33",1967,1966,2934,0.84,3.73,36.1,46,1.25,35.1,46.5,0.18,40.4,54,0.65,46.1,63.5,0.36,51.8,69.7,0.07,57,75.4,0.05,57.7,77.9,0,61.9,82.1,0.07,54.9,72.9,0,47.4,64.9,2.43,44.8,56.9,5.6,38.3,44.9
"34",1968,1967,2298,0.546666666666667,1.77,33.2,44.3,0.71,37.9,47.9,3.78,40.6,51.6,7.29,38.8,49.3,0.46,48.2,65.3,0.34,54.1,72,0,63.5,84.2,0,65.3,85.1,0.25,59.4,77.4,0.08,48.3,66.1,1.67,45.9,57.5,2.16,30.9,42.3
"35",1969,1968,2724,0.786666666666667,10.57,38,45.2,1.64,43.9,53.8,2.08,40.9,53.7,0.67,42.5,59.5,0.55,47.3,65.5,0,57.3,76.9,0,62.7,82.3,0,57.5,76.5,0,55,74.4,1.62,48.4,63.6,2.47,42.3,51.8,3.95,33.6,43.7
"36",1970,1969,3026,0.853333333333333,5.64,38.8,49.3,7.09,37.4,46.1,2.34,39.3,51.3,2.44,43.4,57.6,0,49.9,67.9,0.42,55.5,72.1,0.04,61.4,81.3,0,60,80.9,0.23,57.2,76.6,0.97,44.7,60.6,1.24,39.9,54.6,2.11,35.9,48
"37",1971,1970,2727,0.8,1.15,35.4,45,1.38,39.9,51.8,2.63,40.3,53,0.39,37.7,54.2,0,49.1,68,0.73,57.6,75.9,0,63.6,83.8,0,60.2,80.7,0,53,73.3,0.15,47.5,64,3.93,42.6,55.3,4.05,36.9,45.6
"38",1972,1971,1763,0.253333333333333,0.67,31.9,40.5,0.51,35.2,46.3,1.31,38.2,51.2,0.83,40.5,55.6,1.86,47.2,62.1,0,54.3,73,0,62,81.9,0,63.1,82.3,0.15,55.3,74.1,0.14,43.9,61,1.5,37.6,51,4.2,33.3,42.6
"39",1973,1972,3031,0.866666666666667,3.97,35.2,44.6,0.9,38.7,50.2,0,43.1,57.6,0.66,43,58.8,0.19,50.2,68.2,0.28,59.4,76.9,0,63.5,82.5,0,62.2,80,0.45,55.3,72.2,0.48,49.5,63.1,4.55,40.9,49.5,2.14,33.1,41.4
"40",1974,1973,2849,0.826666666666667,3.94,37.8,47,5.42,41.9,50.8,4,39,48.6,0.35,43.5,58.4,0.04,52.5,70.4,0.02,58.5,77.4,0,60.6,80.1,0,60.4,79.1,0,53.5,71.7,1.95,47.3,62.9,2.98,40.1,51.5,3.33,37.5,46.5
"41",1975,1974,2618,0.72,1.18,32.6,43.7,0.67,34.8,47.4,3.77,41.8,52.8,2.01,41,56,0,47.4,66.2,0,56.7,75.6,0.19,60.9,79.9,0,59.5,79.1,0,58.2,77.6,1.76,51.1,66.5,1.21,40.2,52.6,2.3,35,44.7
"42",1976,1975,2555,0.653333333333333,0.19,32.1,45.6,3.9,38,48.2,4.22,38.5,49.6,1.57,37.7,51.6,0.05,47.3,66,0,55.2,74.3,0,59.2,78.6,0.3,57.6,77.1,0.22,58.2,76.7,2.08,45.8,61.9,0.78,36.9,50.3,0.39,33.1,45.4
"43",1977,1976,1042,0.0933333333333333,1.32,34.4,42.6,4.13,37.8,49.5,1.23,37.4,50.7,1.41,40.2,54.4,0.01,50,68.7,0.13,55.1,73.7,0.03,61.1,80.3,0.52,56.8,73.6,1.37,57.9,73.7,0.86,49.3,65.5,0.94,43.1,55,0.61,32.4,47.1
"44",1978,1977,4524,1,6.45,42.1,50,0.55,38.1,51.4,1.03,34.9,48.8,0,44.6,62.3,1.55,44.9,59.7,0.66,60.3,77.9,0,60.3,80.2,0,62.2,80.5,0,56.7,73.3,0.09,50.5,66.9,1.19,41.8,54.5,5.67,41.6,50.9
"45",1979,1978,3355,0.906666666666667,5.11,35.3,44.9,5.67,41.5,50.1,5.95,46.8,56.9,5.12,43.5,55.7,0,48.8,66.1,0,54.2,73.7,0,60.5,80.2,0,60.8,79.8,1.37,54.4,71.1,0,50.9,68.9,2.48,38.4,50.9,1.48,31.7,41.6
"46",1980,1979,3958,0.973333333333333,6.68,40.7,49.6,3.89,36.5,47.3,3.62,41.9,52.8,0.36,42.1,57.3,0.28,51.7,69.1,0,56.2,76.4,0.2,62.9,81.1,0,59.3,78.1,0,58.9,77.7,1.07,50.8,66.4,1.79,40.3,53.2,1.43,36.2,49.2
"47",1981,1980,2549,0.64,4.09,39.9,50.4,4.97,41,51.8,2.46,39.2,50.9,1,43.6,58.4,0.55,47.7,63.7,0,52.9,70.7,0.01,62.8,81.5,0,59.8,78.9,0,58.1,75,0.22,49.4,67.3,0.37,40.3,55.1,0.88,37.3,49
"48",1982,1981,3911,0.96,5.43,33.8,42.9,1.34,40.7,51.4,4.15,42,52.5,1.16,44.8,59.6,0.23,50.4,67.5,0,61.4,79.9,0,61.4,81.8,0,64.4,82.3,0,59,76.6,1.55,45.6,61.3,3.03,44.4,55.5,2.16,40,48.6
"49",1983,1982,3630,0.92,6.51,36.7,44.5,2.58,39.5,50.3,6.42,40.3,50,3.59,43.4,56.3,0.03,49.6,67.3,0.47,54.9,71.8,0.12,60.5,78.8,0.13,61,79.4,1.72,56.7,72.2,2.3,48.2,63.7,5.13,40.1,49.9,3.83,35.5,45.2
"50",1984,1983,1824,0.293333333333333,0.24,37.8,46.2,5.34,41.2,50.5,7.4,42.5,51.9,2.57,41.6,54.6,0.77,47.6,65,0,54.1,72.8,0,55.7,75.3,0.1,61.7,79.3,0.53,59.4,76.7,0.76,51.4,66.2,5.09,42.5,53.1,4.63,40.7,49.4
"51",1985,1984,1690,0.226666666666667,0.83,33.6,41.9,1.8,37.1,49,1.24,41.5,54.8,0.51,40.7,56.3,0,50.9,69.7,0.4,55.2,73.8,0.06,65.2,83.8,0.03,62.7,81.2,0,60.7,78.6,1.33,45.4,60,3.6,40.6,51.7,2.08,35.9,44.8
"52",1986,1985,2653,0.746666666666667,1.68,42.9,52.2,1.7,36.8,48.9,2.93,37.1,49.1,0.55,45.9,62.3,0,48.2,65.6,0.23,59.2,77.7,0,65.6,83.4,0.04,57.6,76.8,0.51,54.4,69.9,0.97,47,62.8,4.35,39.2,50.1,1.62,35.2,42.5
"53",1987,1986,968,0.0666666666666667,2.22,34.3,44.3,7.85,43,52.4,4.56,45.3,56.6,0.63,43.9,58.7,0.18,47.6,66,0,56.7,76,0,59.6,78.2,0,61.1,81.1,0.61,52,68.3,0,48.4,64.9,0.08,41.1,55.6,0.81,37.3,46.4
"54",1988,1987,807,0.0266666666666667,2.45,36.5,46.6,3.13,38.8,50,3.19,40.8,52.1,0.35,46.9,63.9,0.27,52.3,69,0.02,58,76.5,0,57.4,75.4,0,59.9,78.8,0,56.3,74.6,1.77,54.3,69.9,1.08,42,52.6,2.35,35.9,45.5
"55",1989,1988,988,0.08,0.74,32,43.2,0.4,37.5,51.7,1.43,40.3,54.7,3.08,45.5,59.9,0.51,48.5,65,0.07,56.9,74,0,64.8,84.2,0,62.8,80.7,0,57.9,76,0,51.8,68.8,2.3,42.2,53.7,3.15,35,45.2
"56",1990,1989,845,0.04,2.76,34.5,46.1,1.54,37.1,47.2,3.48,43.7,54.6,0.31,48.4,64,0.6,50.3,66.6,0.04,57.5,75.3,0,61.1,81,0.05,59.1,77.8,1.35,55.6,73,1.23,48.8,64.4,0.91,40,54.8,0,33.1,44.9
"57",1991,1990,2338,0.56,0.57,35.5,46.5,2.3,35.2,46,0.92,41,53.7,1.19,47.4,62.7,2.26,48.3,65.1,0.01,56.6,74.4,0,64,82.5,0,62.7,80.1,0.06,57.1,74.6,0,49.3,67.5,0.68,39.3,53.1,1.27,29.7,41.7
"58",1992,1991,2699,0.773333333333333,1.73,34.5,42.1,1.1,41.2,54.5,9.76,39.5,48.4,0.15,42,56,0.09,46,62.6,0.09,54.2,72.3,0,63.4,82.1,0.01,59.5,77.4,0.08,60.7,78.7,2.23,53.8,70.5,0.58,42.2,54.9,1.65,35.3,46.3
"59",1993,1992,1829,0.306666666666667,8.76,37.7,46.9,5.76,43.3,53.1,2.48,45.3,55.7,0.07,47.4,62.9,0.08,56.8,73.3,0.06,58.5,75.3,1.1,62.1,79.5,0,62.9,82.5,0,57.1,75.4,2.02,52,67.8,0.08,43.1,54.1,4.37,35.7,44.6
"60",1994,1993,1328,0.12,1.65,37.5,47.6,4.46,40.6,49.9,2.67,46.7,56.8,0.29,44.4,58.3,0.31,50.9,67.3,1.19,55,72.8,0,59,77.8,0,58.4,77.7,0,53.8,73.5,0.35,51.1,66.9,1.37,39.5,53.3,1.77,36.5,45.6
"61",1995,1994,2355,0.573333333333333,8.18,43.3,51.1,3.17,38.8,48.6,0.43,42.4,55.4,2.12,45.6,60.4,1.49,51.1,66.1,0,55.3,75.3,0,64.4,83.1,0,63.3,82.3,0.17,57.9,75.1,1.65,48.5,63.8,2.59,38.3,48.5,2.19,36.7,44.7
"62",1996,1995,2651,0.733333333333333,3.33,38.6,48.3,1.08,44,52.6,8.07,43.9,53.5,1.83,44,57.5,1.94,49,63.2,0.7,53.2,71.5,0.04,60.4,79.5,0,61.4,80.8,0,55.9,75.3,0,49.2,67,0,44.9,59.5,3.67,41.1,50.9
"63",1997,1996,2286,0.533333333333333,8.85,40.8,48.5,5.05,44.2,52.9,2.65,42.9,54.4,1.79,45,60.1,0.76,48.9,66.7,0.17,57.2,75.7,0,63.3,83.5,0,63.1,82.8,0,53.5,73,2.1,47.6,63.7,4.89,42.2,53.2,8.65,40.5,48.9
"64",1998,1997,2508,0.626666666666667,7.94,39.4,49.3,0.24,40,50.3,0.11,43.4,57.9,0.07,43.3,60.1,0,52.6,71.4,0.09,56.3,74.3,0.02,60.2,79,0,63.1,80.8,0.07,58.4,75.7,0.17,46.7,63.6,2.61,45.6,56.9,2.3,35.5,45
"65",1999,1998,2191,0.52,3.85,34.7,45.3,8.05,40.5,48.5,4.7,43.5,53.9,2.51,43,55.7,1.94,45.5,59.2,1.93,55,70.4,0,63.1,82.1,0,64.1,83.4,0.16,60,76,0.14,46.1,62.5,0.8,39.8,52.4,1.47,31.3,43.7
"66",2000,1999,1893,0.333333333333333,5.49,39.6,49.3,3.19,37.2,48.4,0.92,39.3,51.6,2.23,41.1,54.9,0.13,48.4,64.9,0.43,56.1,73.9,0,60.2,79.7,0,59.1,77.6,0,58.7,76.7,0,52,69,1.3,45.3,57.6,0.05,34.7,48.7
"67",2001,2000,1852,0.32,3.86,34.9,46.3,8.99,41.7,52,1.83,41.8,53.1,2,45.9,60.9,0.35,49.7,67.1,0.88,57.8,76.8,0,57.7,77.4,0,60.9,80.5,0.44,55,72.9,2.66,48.6,62.9,0.18,35.8,47.8,0.24,38.8,50.1
"68",2002,2001,2078,0.466666666666667,1.6,35.9,45.1,3.29,38,47.2,1.69,42.9,55.3,2.1,42.2,56.1,0.03,57.2,74.9,0,59.9,78.4,0.08,62.2,80.1,0,62.1,81.2,0.01,58,76.3,0.53,54.1,69.9,2.67,44.7,56,4.59,37.7,46.6
"69",2003,2002,3717,0.933333333333333,0.71,40.6,50.6,1.27,39,51,1.89,39.3,52,0.54,45.2,60.3,0.97,49.1,66.7,0.06,55.9,75.9,0,64.3,83.4,0,62.7,80.8,0.01,58.5,76.7,0.07,50.2,65.5,2.81,43.5,55.7,3.94,38.9,48.8
"70",2004,2003,1100,0.106666666666667,1.49,36.8,45.8,1.73,38.6,49.3,1.46,40.9,53.8,2.41,42.3,55.3,1.42,49,65.6,0,59.3,77.8,0.01,65.9,85,0.31,62.5,80.6,0,62.3,79.8,0.04,53.2,70.5,0.79,39.1,51,3.83,39.1,49.1
"71",2005,2004,3970,0.986666666666667,5.64,39.1,46.3,3.38,38.7,48.4,0.92,46.2,59.8,0.13,45.6,62.2,0.14,51.1,68.6,0,58.7,75.3,0,62.9,81.9,0,63.3,81.2,0.04,56.4,75.1,3.66,49.4,63.5,1.19,41.5,51,3.15,36.7,46.3
"72",2006,2005,2561,0.666666666666667,5.3,37.6,48.1,3.28,42.8,52.6,3.76,43.7,54.5,0.82,41.2,55.9,2.84,49.5,65.6,0,51.8,71,0,65.6,85,0.04,63.6,82.6,0.17,53.3,71.8,0.19,47.8,64.2,0.21,44.8,57.8,4.09,40.8,50
"73",2007,2006,852,0.0533333333333333,0.69,30.4,43.5,1.23,38.2,51.2,5.67,36.6,47.1,5.6,44.9,55.8,0.76,52.1,68.7,0.08,59.4,78.1,0,66.9,85.6,0,59.5,78.8,0,56.9,75.4,0.41,47.5,63.3,0.63,42.4,54.4,2.51,35.9,47.4
"74",2008,2007,1646,0.213333333333333,5.61,37.9,46.2,3.43,39.8,50.2,1.08,42.7,57,0.68,44.5,60,0.16,51.9,69.7,0,58.9,77,0,64.5,81.4,0.05,63.1,81.6,0.06,56.4,72.9,0.45,46.6,61.8,0.12,44.9,57.7,2.89,35.3,45
"75",2009,2008,1403,0.16,2.02,36.7,47,3.64,38.3,48.7,0.2,40.8,53.8,0.01,41.2,58,0.57,49.6,66.3,0,57.9,76.5,0,63.4,81.3,0,64.9,83,0,58,76.5,0.28,50.4,66.8,2.01,46.7,57.5,2.1,36.1,44.5
"76",2010,2009,3199,0.893333333333333,4.46,39.7,48,4.03,40.2,49.9,1.42,41,52.9,0.68,41.8,58.1,0.43,54.9,71.3,0.67,54.9,72.5,0,64.5,83.5,0.02,60.3,79.1,0.02,60.7,77.8,1.95,49.3,62,0.18,39.3,52.3,3.92,36.4,46
"77",2011,2010,NA,NA,2.48,37.9,45.9,4.36,42.4,50.1,1.79,40.5,52.2,3.26,43.3,54.8,0.37,45.4,60.4,0,58.2,74.7,0,63,81.1,0,59.7,78,0,57.2,74.7,2.21,53.9,66.9,2.96,40.9,52.3,8.96,41.7,49.4
"78",2012,2011,NA,NA,2.74,36.2,48.8,3.23,36.2,46.9,6.8,41.9,51.5,0.36,43.9,57.4,0.8,45.6,61.1,1.9,54.2,70.8,0,61.5,79.2,0,64.3,81.2,0,61.4,78,1.37,51.5,65.9,1.07,40.2,51.7,0,32.1,45.3
"79",2013,2012,NA,NA,0.82,33.4,44.5,0.8,39,49.8,3.61,40.3,51.8,2.99,45.5,58.3,0,49.5,67.7,0.06,58,74.9,0,63.5,80.6,0.01,65,83.8,0,63.7,79.6,0.38,52.5,66.5,1.39,44.8,56,5.61,41.4,48.2
"80",2014,2013,NA,NA,1.13,39.7,53.2,0.94,36.9,48,0.49,44,56.9,0.26,44.9,61.6,0.28,51.6,68,0,59.5,76.8,0,67.2,84.5,0.05,62,79.6,0.17,58.3,74.2,0.19,46.9,63,0.58,41.6,55.3,0.29,33.1,46.3
"81",2015,2014,NA,NA,0.16,39.1,48.7,2,43.1,53.3,0.99,43.8,57.2,1.63,45.6,61.3,0.07,51.4,68.9,0,57.1,76,0.01,67.3,83.8,0,65,81.7,0.47,61.9,78,0,52.6,68.6,1.34,42.9,54.9,3.29,43.1,51.2
"82",2016,2015,NA,NA,5.63,40.2,48.5,1.15,44.3,55.3,0.18,44.1,59.1,1.65,47.5,62,0.21,50.3,65.2,0,63.3,80.1,0.21,65.2,81.3,0,64.1,81.4,0.09,61.2,77.3,0.32,55.5,69.5,2.72,40.4,51.2,3.83,36,44.8
"83",2017,2016,NA,NA,10.73,39.3,46.2,0.82,42.2,53.4,4.51,44.5,55.1,2.86,47.6,61.5,0.04,51.6,67.1,0.13,59.7,77.8,0,63.8,82.4,0,64.4,81.9,0,56.2,74.2,1.56,50.4,65.1,1.57,44.6,56.8,3.81,36.5,46
"84",2018,2017,NA,NA,1.8,41.5,51.5,5.14,44.1,52,1.33,44,55.2,1.74,45.7,58.5,0.03,51.2,67.5,0.08,59.6,77.3,0,66.2,84.4,0,67.1,83.8,0.35,58.9,75.1,0.17,49.1,65.3,1.07,45.6,57,0.1,35.6,48.5
